Départ,Arrivée,Date aller,Date retour,Prix (€),Durée (min),Compagnie
CDG,BER,2025-11-16,2025-11-21,137,110,Air France
CDG,BER,2025-11-16,2025-11-21,166,230,KLM
CDG,BER,2025-11-16,2025-11-21,185,105,easyJet
CDG,BER,2025-11-16,2025-11-21,137,110,Air France
CDG,BER,2025-11-16,2025-11-21,166,230,KLM
CDG,BER,2025-11-16,2025-11-21,185,105,easyJet
CDG,BER,2025-11-16,2025-11-21,137,110,Air France
CDG,BER,2025-11-16,2025-11-21,166,230,KLM
CDG,BER,2025-11-16,2025-11-21,185,105,easyJet
CDG,BER,2025-11-19,2025-11-24,136,105,Air France
CDG,BER,2025-11-19,2025-11-24,136,105,Air France
CDG,BER,2025-11-19,2025-11-24,137,110,Air France
CDG,BER,2025-11-19,2025-11-24,137,105,Air France
CDG,BER,2025-11-19,2025-11-24,166,230,KLM
CDG,BER,2025-11-19,2025-11-24,172,460,Condor
CDG,BER,2025-11-21,2025-11-26,142,110,Air France
CDG,BER,2025-11-21,2025-11-26,166,230,KLM
CDG,BER,2025-11-21,2025-11-26,172,105,Air France
CDG,BER,2025-11-21,2025-11-26,142,110,Air France
CDG,BER,2025-11-21,2025-11-26,166,230,KLM
CDG,BER,2025-11-21,2025-11-26,172,105,Air France
CDG,BER,2025-11-21,2025-11-26,142,110,Air France
CDG,BER,2025-11-21,2025-11-26,166,230,KLM
CDG,BER,2025-11-21,2025-11-26,172,105,Air France
CDG,BER,2025-12-09,2025-12-14,172,110,Air France
CDG,BER,2025-12-09,2025-12-14,172,105,Air France
CDG,BER,2025-12-09,2025-12-14,187,105,easyJet
